Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative ,Number of measures taken after detection with solely automated means ,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Discord,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,2287,0,1249,,,,1038,,,,,,1064,13,1064,13,Incease in measures taken is a direct result of our ehanced focus on proactive moderation and preventative measures.,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibit the encouragement or
promotion of self-harm.",11428,536,7878,,,,4519,,,,,,4541,58,4541,58,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,5496,1950,1935,,,,3051,,,,,,3076,179,3076,179,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibits gambling and the
promotion of in-person sexual services.",12,8,1,,,,8,,,,,,8,2,8,2,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_COORDINATED_HARM,,26601,20415,110,,,,19544,,,,,,19595,6886,19595,6886,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,50283,25128,9320,,,,38785,,,,,,39843,1716,39843,1716,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,2,0,1,,,,0,,,,,,0,1,0,1,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibits the sharing of material
depicting real violence or gore.",628,230,326,,,,120,,,,,,129,35,129,35,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_ADULT_SEXUAL_MATERIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,11891,60,6399,,,,453,,,,,,469,31,469,31,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,26831,45,65,,,,26296,,,,,,26370,380,26370,380,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_LANGUAGE_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_NUDITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
