Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""","Number of notices received 
",Number of Items Moderated,Median Time to take action (reports) (in hour),Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_PHISHING,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,21947,308,11,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,2357,315,68,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibits gambling and the promotion of in-person sexual services.,2290,715,46,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,3228,519,144,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,These are violations of Discord's Terms of Service where insufficient information was provided to determine the specific category of illegal content,,,,9,15,,,2,,,
