Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Exploitation simulated,8,0,8,0,0.16,0.00,0,0,8,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Suspicion of rape,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Injury,1,0,1,0,0.30,0.00,0,0,1,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Suspicion of incest,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Incest simulated,1,0,1,0,0.35,0.00,0,0,1,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Incest suspicion,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Incest,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,326,0,330,0,24.30,0.00,0,0,330,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_ADULT_SEXUAL_MATERIAL,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_LANGUAGE_REQUIREMENTS,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NUDITY,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Scatophilia,3,0,3,0,48.10,0.00,0,0,3,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Other,216,0,216,0,15.55,0.00,0,0,216,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Missing documents,107,0,111,0,48.12,0.00,0,0,111,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Wrong model tagging,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Missing model tagging,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,Issue with content,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
Only for providers of hosting services including online platforms,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,0,0,0,0,0.00,0.00,0,0,0,0,,,,,,,,,,
