Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Country,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Number of orders to provide information denied,Number of orders to provide information granted/complied with,Median time to inform the authority of the receipt of the order to provide information in hours,Median time to give effect to the order to provide information in hours,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,DE,DE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,DE,DE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,DE,DE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,DE,DE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,DE,DE,0,0,0,0,3089,324,2765,5.633038,0.15,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,DK,0,0,0,0,21,9,12,18.3657333,0.37,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,DK,DK,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,DK,DK,0,0,0,0,21,9,12,18.3657333,0.37,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,TOTAL,,TOTAL,EE,0,0,0,0,35,0,35,2.47,0.09,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
All,Vinted Marketplace,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,EE,EE,0,0,0,0,0,0,0,0,0,,,,,,
