Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,sv,56,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,no,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,bg,2,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,hr,64,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,cs,65,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,da,135,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,nl,196,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,en,487,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,et,77,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,fi,139,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,fr,191,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,de,468,This dataset includes language-agnostic strings such as names and emojis.
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,el,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,hu,48,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,ga,53,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,it,253,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,lv,16,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,lt,65,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,mt,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,pl,195,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,pt,98,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,ro,89,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,sk,59,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,sl,41,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,es,142,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,sv,134,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,no,3,
