Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_DISCRIMINATION,,31,0,28,,1176.20,,0,0,4,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_HATE_SPEECH,,14,0,13,,23.42,,0,0,11,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_OTHER,"Covers content that violates Zalando's policies on ""3.1.7 offensive and/or illegal content"" (Ratings and Reviews Terms of Use) or the Product & Brand Guidelines (Section 2.1), not captured by any other sub-category.",34,0,31,,55.30,,0,0,3,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,69,0,63,,196.48,,0,0,43,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,19,0,19,,196.77,,0,0,26,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,8,0,7,,181.32,,0,0,4,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,2,0,2,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,1,0,1,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,30,0,28,,142.94,,0,0,12,0,,,,,,,,,,
