Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_OTHER,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,12501219,0,12501219,0,11,0,0,0,8151607,0,"The spam notices reflects Grindr's ongoing battle against coordinated spam attacks and the enhanced detection capabilities deployed in response. Throughout 2025, Grindr faced a series of sophisticated, large-scale spam attacks from bad actors increasingly leveraging AI-driven techniques to evade detection. Spammers also started flagging good standing users in order to inundate our queues.",,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,326781,0,326781,0,0,0,0,0,57496,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,BOT_ACCOUNTS,451,0,451,0,,0,0,0,0,0,,,,,"These notices were still in pending status as of Dec 31 2025, no median time to action available",,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_PHISHING,,1003,0,1003,0,,0,0,0,0,0,,,,,"These notices were still in pending status as of Dec 31 2025, no median time to action available",,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_OTHER,SPAM,12172984,0,12172984,0,11,0,0,0,8094111,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_SELF_MUTILATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_SUICIDE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_OTHER,N/A,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,361412,0,361412,0,3,0,116634,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,97614,0,97614,0,0,0,97077,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,5275,0,5275,0,47,0,3416,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_OTHER,ILLEGAL_ACTIVITY,258523,0,258523,0,17,0,16141,0,0,0,,,,,,,Many notices under this flag are rejected; no evidence of violations. Other notices are still pending final decision,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,22,0,22,0,20,0,15,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_COORDINATED_HARM,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,KEYWORD_OTHER,OFFLINE INCIDENTS,22,0,22,0,20,0,15,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Grindr,2025-02-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,0,0,0,0,,0,0,0,0,0,,,,,,,,,,
