Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de notifications reçues,Nombre de notifications reçues de signaleurs de confiance,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Délai médian nécessaire pour entreprendre une action,Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base de la législation,Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base des conditions générales applicables au service,Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre de notifications reçues,Informations contextuelles sur Nombre de notifications reçues de signaleurs de confiance,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Délai médian nécessaire pour entreprendre une action,Informations contextuelles sur Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation,Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service,Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance)
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,,0,,0,,0,,0,,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_PHISHING,,,0,,0,,0,,0,,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,,0,,0,,0,,0,,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,,0,,0,,0,,0,,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,,0,,0,,0,,0,,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,1,0,1,0,379,0,1,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,1,0,1,0,379,0,1,0,0,0,- Produit ne bénéficiant pas des certifications européennes nécessaires (1),,,,,,- Suspension du service pour le vendeur concerné en attente de mise en conformité (1),,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,,,,,,
