Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,KEYWORD_POTENTIAL_MINORS,0,0,0,0,17,0,42,0,29,0,"Since the platform is using the same category for all minor related noticices, for a more conservative data reporting methodology, all notices in this category are counted in STATEMENT_CATEGORY_PROTECTION_OF_MINORS",,,,,,,,"This category encompasses content involving or potentially involving minors, regardless of context or nature. It includes age-ambiguous individuals, non-sexualized images of minors, and content where minors appear incidentally rather than as the primary focus. Therefore, this category captures a broad range of minor-related content for review purposes.",
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,1599,0,1535,0,7.5,0,0,0,1132,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,1,0,1,0,5,0,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,423,0,407,0,7,0,0,0,53,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,KEYWORD_PRC_RELATED,1175,0,1129,0,8,0,0,0,1078,0,,,,,,,,,"This category encompasses content that violates laws and regulations of People's republic of China, which related to national security and defamation.",
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,28932,0,25423,0,8,0,0,0,3390,0,,,,,,,,,,
