Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other"" linked to our Community Guidelines",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Inauthentic_Profiles,France,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Scams_Fraud_and_Theft,France,,,,,3,,01:16:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,France,,,,,2,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Physical_and_Sexual_Violence,France,,,,,2,,01:47:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,France,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Controlled_Goods_and_Substances,France,,,,,1,,00:35:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,TOTAL,,Germany,,,,,12,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,Germany,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,Germany,,,,,1,,00:40:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,Germany,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,Germany,,,,,2,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,Germany,,,,,2,,00:37:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,Germany,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,Germany,,,,,1,,00:47:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,Germany,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,Germany,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,Germany,,,,,5,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Inauthentic_Profiles,Germany,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Scams_Fraud_and_Theft,Germany,,,,,5,,01:07:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,Germany,,,,,3,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Physical_and_Sexual_Violence,Germany,,,,,3,,01:12:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,Germany,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Controlled_Goods_and_Substances,Germany,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,TOTAL,,Ireland,,,,,1,,,,,,,,,
