PROPRE INITIATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de mesures prises par le fournisseur de sa propre initiative,Nombre de mesures prises après détection par des moyens automatisés uniquement,Restriction de la visibilité - Retrait,Restriction de la visibilité - Accès rendu impossible,Restriction de la visibilité - Déclassement,Restriction de la visibilité - Limite d’âge,Restriction de la visibilité - Limite d’interaction,Restriction de la visibilité - Labellisation,Restriction de la visibilité - Autre,Restriction des paiements monétaires - Suspension,Restriction des paiements monétaires - Fin,Restriction des paiements monétaires - Autre,Fourniture du service - Suspension,Fourniture du service - Fin,Restriction du compte - Suspension,Restriction du compte - Fin,Informations contextuelles sur Nombre de mesures prises par le fournisseur de sa propre initiative,Informations contextuelles sur Nombre de mesures prises après détection par des moyens automatisés uniquement,Informations contextuelles sur Restriction de la visibilité - Retrait,Informations contextuelles sur Restriction de la visibilité - Accès rendu impossible,Informations contextuelles sur Restriction de la visibilité - Déclassement,Informations contextuelles sur Restriction de la visibilité - Limite d’âge,Informations contextuelles sur Restriction de la visibilité - Limite d’interaction,Informations contextuelles sur Restriction de la visibilité - Labellisation,Informations contextuelles sur Restriction de la visibilité - Autre,Informations contextuelles sur Restriction des paiements monétaires - Suspension,Informations contextuelles sur Restriction des paiements monétaires - Fin,Informations contextuelles sur Restriction des paiements monétaires - Autre,Informations contextuelles sur Fourniture du service - Suspension,Informations contextuelles sur Fourniture du service - Fin,Informations contextuelles sur Restriction du compte - Suspension,Informations contextuelles sur Restriction du compte - Suppression
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Matériel relatif à des abus sexuels sur enfants créé à l’aide de technologies d’hypertrucage (deepfake) ou de technologies similaires,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Pédopiégeage/soustraction de mineurs à des fins sexuelles,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Défis dangereux,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,RISQUE POUR LA SECURITE PUBLIQUE,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Organisations illégales,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Risque de dommages environnementaux,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Risque pour la santé publique,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contenus à caractère terroriste,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,ESCROQUERIES ET/OU FRAUDES,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Imposture ou piratage de compte,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Comptes non authentiques,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Annonces non authentiques,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Avis d’utilisateur non authentiques,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Hameçonnage,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Systèmes de vente pyramidale,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,AUTODESTRUCTION,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contenus promouvant les troubles de l’alimentation,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Automutilation,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Suicide,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"PRODUITS DANGEREUX, NON CONFORMES OU INTERDITS",,193,0,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Produits interdits ou faisant l’objet de restrictions,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Produits dangereux ou non conformes,,193,0,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,VIOLENCE,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Actions néfastes coordonnées,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Appels généraux ou incitation à la violence et/ou à la haine,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Exploitation des êtres humains,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Traite des êtres humains,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Traite des femmes et des filles,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
