NOTIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de notifications reçues,Nombre de notifications reçues de signaleurs de confiance,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Délai médian nécessaire pour entreprendre une action,Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base de la législation,Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base des conditions générales applicables au service,Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre de notifications reçues,Informations contextuelles sur Nombre de notifications reçues de signaleurs de confiance,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notification,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Délai médian nécessaire pour entreprendre une action,Informations contextuelles sur Délai médian nécessaire pour prendre une action (signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation,Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service,Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance)
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux brevets,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation des secrets commericaux,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux marques,,1,0,1,0,12,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autres,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,EFFETS NEFATIFS SUR LE DISCOURS CIVIQUE ET LES PROCESSUS ELECTORAUX,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"Mésinformation, désinformation, activités de manipulation de l’information et d’ingérence menées depuis l’étranger",,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation du droit de l’UE relatif au discours civique ou aux processus électoraux,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation du droit national relatif au discours civique ou aux processus électoraux,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,PROTECTION DES MINEURS,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Restrictions liées à l’âge concernant les mineurs,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contenus à caractère pédopornographique,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Matériel relatif à des abus sexuels sur enfants créé à l’aide de technologies d’hypertrucage (deepfake) ou de technologies similaires,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Pédopiégeage/soustraction de mineurs à des fins sexuelles,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Défis dangereux,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,RISQUE POUR LA SECURITE PUBLIQUE,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Organisations illégales,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Risque de dommages environnementaux,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Risque pour la santé publique,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contenus à caractère terroriste,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,ESCROQUERIES ET/OU FRAUDES,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Imposture ou piratage de compte,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Comptes non authentiques,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Annonces non authentiques,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Avis d’utilisateur non authentiques,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Hameçonnage,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Systèmes de vente pyramidale,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,AUTODESTRUCTION,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contenus promouvant les troubles de l’alimentation,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Automutilation,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Suicide,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"PRODUITS DANGEREUX, NON CONFORMES OU INTERDITS",,3,0,8,0,204,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Produits interdits ou faisant l’objet de restrictions,,1,0,4,0,96,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Produits dangereux ou non conformes,,2,0,4,0,312,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,VIOLENCE,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Actions néfastes coordonnées,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Appels généraux ou incitation à la violence et/ou à la haine,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Exploitation des êtres humains,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Traite des êtres humains,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Traite des femmes et des filles,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,TYPE DE CONTENU PRESUME ILLICITE NON SPECIFIE PAR LA PERSONNE A L'ORIGINE DE LA NOTIFICATION,,0,0,0,0,0,0,,,,,,,,,,,,,,
