Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_HATE_SPEECH,,"5,143,188","5,129,326","1,238,926",0,"3,904,113",0,,,0,,,,,,0,149,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,"7,521,483","7,088,401","7,114,306","406,545",0,0,,,0,,,,,,323,309,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,"7,489,496","7,086,495","7,107,529","381,497",0,0,,,0,,,,,,323,147,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,"31,987","1,906","6,777","25,048",0,0,,,0,,,,,,0,162,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,"350,249","349,076","39,371",439,"310,425",0,,,0,,,,,,0,14,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,"349,810","348,996","39,371",0,"310,425",0,,,0,,,,,,0,14,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,This subcategory encompasses violations of our Advertising and Merchant Guidelines related to political campaigning and products.,439,80,0,439,0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,"3,006,180","2,979,479","2,754,588","1,468","198,334","3,018",,,0,,,,,,0,"48,772",,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,"32,989","28,513",0,"1,468",0,"3,018",,,0,,,,,,0,"28,503",,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,"113,239","112,447","108,673",0,0,0,,,0,,,,,,0,"4,566",,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,"39,017","38,804","39,013",0,0,0,,,0,,,,,,0,4,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,"1,316","1,290","1,300",0,0,0,,,0,,,,,,0,16,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,"132,652","132,582","132,548",0,104,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,"This subcategory encompasses violations from our Community Guidelines, specifically under our child safety policy, regarding any content that contributes to the sexualization of minors.It also covers violations of our Community Guidelines under our prohibited and regulated goods policy related to substances or weapons use by minors.","2,686,967","2,665,843","2,473,054",0,"198,230",0,,,0,,,,,,0,"15,683",,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,"117,404","98,482","87,665","27,007","2,347",2,,,0,,,,,,0,383,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,0,0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,"27,009","8,977",0,"27,007",0,2,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,"85,020","84,132","82,290",0,"2,347",0,,,0,,,,,,0,383,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,"This subcategory encompasses violations of our Community Guidelines related to the distribution of content and accounts that encourage, belong to, impersonate, praise, promote, or provide aid to dangerous actors or groups and their activities. This includes violent extremists.","5,375","5,373","5,375",0,0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,"2,263,387","2,254,115","6,462","3,481","262,954",0,,,0,,,,,,0,"1,990,490",,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,148,0,3,0,0,0,,,0,,,,,,0,145,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,53,0,0,0,0,0,,,0,,,,,,0,53,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_PHISHING,,0,0,0,0,0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,"This subcategory encompasses violations of our Community Guidelines, specifically under our spam policy, related to trends and attacks, spammy behavior in on-platform activity, off-platform violations (links, redirect paths), and domain attributes. It also includes violations of our Merchant Guidelines related to product quality, price, delivery times and return processes.","2,263,186","2,254,115","6,459","3,481","262,954",0,,,0,,,,,,0,"1,990,292",,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,"11,758,573","11,705,336","10,063,776",5,"1,694,489",0,,,0,,,,,,0,303,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,"4,404,716","4,391,391","4,316,789",0,"87,927",0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_SELF_MUTILATION,,"2,914,376","2,906,121","1,928,555",0,"985,821",0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_SUICIDE,,"4,173,486","4,165,772","3,645,301",0,"528,184",0,,,0,,,,,,0,1,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,"This subcategory encompasses violations of our Community Guidelines, specifically under our self-injury and harmful behavior policy, that aren’t already covered in the above categories.","265,995","242,052","173,131",5,"92,557",0,,,0,,,,,,0,302,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,"5,640,433","5,582,363","862,735","32,674","4,737,429","7,201",,,1,,,,,,0,393,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,"588,379","547,954","358,677","28,097","197,844","3,760",,,1,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,"493,916","486,520","432,298","4,471","53,348","3,406",,,0,,,,,,0,393,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,"This subcategory encompasses violations of our Community Guidelines, specifically under our prohibited and regulated goods, services and activities policy related to exploitative financial practices including get-rich-quick schemes and glorification of illegal drug or weapon use.This category also includes violations of our Advertising Guidelines that don’t fit into other subcategories.","4,558,138","4,547,889","71,760",106,"4,486,237",35,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,"16,533,263","16,516,831","94,157",497,"16,438,286",0,,,0,,,,,,0,323,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_COORDINATED_HARM,,0,0,0,0,0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,"1,799,724","1,798,164","62,703",0,"1,736,759",0,,,0,,,,,,0,262,,,,,,,,,,,,,,,,
