Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual information on Number of measures taken at the provider's own initiative,Contextual information on Number of measures taken after detection with solely automated means,Contextual information on Visibility restriction Removal,Contextual information on Visibility restriction Disable,Contextual information on Visibility restriction Demoted,Contextual information on Visibility restriction Age restricted,Contextual information on Visibility restriction Interaction restricted,Contextual information on Visibility restriction Labelled,Contextual information on Visibility restriction Other,Contextual information on Monetary restriction Suspension,Contextual information on Monetary restriction Termination,Contextual information on Monetary restriction Other,Contextual information on Provision of the service Suspension,Contextual information on Provision of the service Termination,Contextual information on Account restriction Suspension,Contextual information on Account restriction Termination,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,303,239,283,,0,,,,0,,,,0,0,0,20,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,58,2,54,,0,,,,0,,,,0,0,0,4,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,58,2,54,,0,,,,0,,,,0,0,0,4,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,5453169,4803676,75844,,0,,,,0,,,,2300,0,0,5375025,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,116,0,0,,0,,,,0,,,,0,0,0,116,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,5377373,4787356,3390,,0,,,,0,,,,0,0,0,5373983,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_PHISHING,,38897,11001,38751,,0,,,,0,,,,0,0,0,146,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_PYRAMID_SCHEMES,,418,221,197,,0,,,,0,,,,221,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER_FRAUD_OR_DECEPTION,,36365,5098,33506,,0,,,,0,,,,2079,0,0,780,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SELF_HARM,,57,0,57,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_SELF_MUTILATION,,57,0,57,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_SUICIDE,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,24143,13183,24095,,0,,,,0,,,,4,44,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_PROHIBITED_PRODUCTS,,23809,13148,23761,,0,,,,0,,,,4,44,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_UNSAFE_PRODUCTS,,334,35,334,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_VIOLENCE,,2905,25,2904,,0,,,,0,,,,0,1,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_COORDINATED_HARM,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,2902,23,2901,,0,,,,0,,,,0,1,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_HUMAN_EXPLOITATION,,1,0,1,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
All,LinkedIn,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,0,0,0,,0,,,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,
