Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,de,0.94,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,de,0.60,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,el,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,el,0.91,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,el,0.57,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,en,1.00,
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,en,0.95,
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,en,0.70,
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,es,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,es,0.92,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,es,0.56,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,et,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,et,0.94,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,et,0.58,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,fi,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,fi,0.92,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,fi,0.40,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,fr,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,fr,0.91,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,fr,0.54,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,ga,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,ga,0.98,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,ga,0.75,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,hr,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,hr,0.91,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,hr,0.56,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,hu,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,hu,0.93,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,hu,0.48,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,it,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,it,0.91,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,it,0.57,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,lt,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,lt,0.91,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,lt,0.69,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,lv,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,lv,0.94,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,lv,0.59,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,mt,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,mt,0.97,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,mt,0.50,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,nl,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,nl,0.91,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,nl,0.53,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,pl,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,pl,0.92,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,pl,0.54,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,pt,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,pt,0.95,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,pt,0.68,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,ro,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,ro,0.89,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,ro,0.55,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,sk,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
