Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_GOODS_SERVICES_NOT_PERMITTED,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_STOLEN_GOODS,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_VEHICLE_ACCESSORIES,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_NUDITY_SEXUAL_ACTIVITY,Added category to capture Article 16 user notice submissions alleging nudity or sexual activity,0,23,0,125,0.0,48.1,0,0,0,15,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_VIOLENCE,,0,18,0,25,0.0,31.2,0,0,0,10,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_COORDINATED_HARM,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,0,13,0,20,0.0,31.2,0,0,0,10,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_HUMAN_EXPLOITATION,,0,4,0,4,0.0,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
