Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",FR,36,133,,1,72,,121,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",GR,0,0,,0,28,,104,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",HR,0,0,,0,1,,3,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",HU,3,3,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",IE,0,0,,0,2,,157,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",IT,0,0,,0,20,,193,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",LT,1,13,,45,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",LU,0,0,,0,1,,170,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",LV,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",MT,0,0,,0,1,,286,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",NL,0,0,,0,6,,61,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",PL,1,1,,196,11,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",PT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",RO,34,144,,7,1,,504,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",SE,0,0,,0,5,,49,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,AT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,BE,,,,,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,BG,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,CY,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,DE,,,,,94,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,DK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,EE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,ES,,,,,4,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,FI,,,,,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,FR,,,,,14,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,GR,,,,,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,HR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,HU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,IE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,IT,,,,,3,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,LT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,MT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,NL,,,,,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,PL,,,,,4,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,PT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,RO,,,,,3,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,SE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,SI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,SK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",AT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",BE,,,,,2,,923,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",BG,,,,,1,,1919,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",CY,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",DE,,,,,94,,144,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",DK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",EE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",ES,,,,,4,,172,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",FI,,,,,2,,28,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",FR,,,,,14,,99,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",GR,,,,,2,,396,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",HR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",HU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",IE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",IT,,,,,3,,70,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",LT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",MT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",NL,,,,,2,,37,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",PL,,,,,4,,529,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",PT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",RO,,,,,3,,48,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",SE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",SI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",SK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,AT,0,0,,0,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,BE,0,0,,0,49,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,BG,0,0,,0,7,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,CY,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,CZ,0,0,,0,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,DE,0,0,,0,470,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,DK,0,0,,0,20,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,EE,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,ES,0,0,,0,83,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,FI,0,0,,0,20,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,FR,3,4,,0,74,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,GR,0,0,,0,7,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,HR,0,0,,0,8,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,HU,1,1,,0,4,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,IE,0,0,,0,20,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,IT,0,0,,0,30,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,LT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,LU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,LV,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,MT,0,0,,0,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,NL,0,0,,0,16,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,PL,2,2,,0,21,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,PT,0,0,,0,5,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,RO,0,0,,0,9,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,SE,0,0,,0,80,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",AT,0,0,,0,2,,66,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",BE,0,0,,0,38,,109,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",BG,0,0,,0,7,,192,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",CY,0,0,,0,1,,76,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",CZ,0,0,,0,2,,911,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",DE,0,0,,0,458,,51,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",DK,0,0,,0,20,,134,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",EE,0,0,,0,1,,1,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",ES,0,0,,0,78,,117,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",FI,0,0,,0,20,,46,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",FR,3,4,,0,68,,129,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",GR,0,0,,0,7,,70,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",HR,0,0,,0,8,,97,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",HU,1,1,,4,3,,288,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",IE,0,0,,0,19,,126,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",IT,0,0,,0,30,,302,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",LT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",LU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",LV,0,0,,0,1,,282,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",MT,0,0,,0,2,,893,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",NL,0,0,,0,16,,58,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",PL,2,2,,10,21,,190,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",PT,0,0,,0,5,,328,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",RO,0,0,,0,8,,62,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",SE,0,0,,0,79,,75,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",AT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",BE,,,,,11,,72,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",BG,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",CY,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",DE,,,,,12,,27,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",DK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",EE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",ES,,,,,5,,45,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",FI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",FR,,,,,6,,48,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",GR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",HR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",HU,,,,,1,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",IE,,,,,1,,14,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",IT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",LT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",MT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",NL,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",PL,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",PT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",RO,,,,,1,,26,,,,,,,
