Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",TOTAL,0,0,,0,522,,140,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6b,KEYWORD_DISCRIMINATION,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",TOTAL,184,854,,5,1771,,94,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6d,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,TOTAL,,,,,131,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7a,KEYWORD_COPYRIGHT_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7b,KEYWORD_DESIGN_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7c,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7d,KEYWORD_PATENT_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7e,KEYWORD_TRADE_SECRET_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7f,KEYWORD_TRADEMARK_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider member state orders for: Intellectual Property.",TOTAL,,,,,131,,140,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8a,KEYWORD_MISINFORMATION_DISINFORMATION,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8b,KEYWORD_VIOLATION_EU_LAW,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8c,KEYWORD_VIOLATION_NATIONAL_LAW,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8d,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,TOTAL,7,7,,0,931,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9a,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider member state orders for: Child Exploitation and Child Sexual Exploitation.",TOTAL,7,7,,4,894,,75,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9c,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9d,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9e,KEYWORD_UNSAFE_CHALLENGES,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Missing Minor.",TOTAL,,,,,37,,46,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,TOTAL,238,2263,,0,3969,,0,,,,,,,
