Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Champ d’application,Nombre d’injonctions d’agir contre des contenus illicites reçues,Nombre d’éléments d’information spécifiques inclus dans le nombre total d’injonctions d’agir contre des contenus illicites,Délai médian nécessaire pour informer l’autorité de la réception de l’injonction d’agir contre des contenus illicites,Délai médian nécessaire pour donner suite à l’injonction d’agir contre des contenus illicites,Nombre d’injonctions de fournir des informations,Délai médian nécessaire pour informer l’autorité de la réception de l’injonction de fournir des informations,Délai médian nécessaire pour donner suite à l’injonction de fournir des informations,Informations contextuelles sur Nombre d’injonctions d’agir contre des contenus illicites reçues,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total d’injonctions d’agir contre des contenus illicites,Informations contextuelles sur Délai médian nécessaire pour informer l’autorité de la réception de l’injonction d’agir contre des contenus illicites,Informations contextuelles sur Délai médian nécessaire pour donner suite à l’injonction d’agir contre des contenus illicites,Informations contextuelles sur Nombre d’injonctions de fournir des informations,Informations contextuelles sur Délai médian nécessaire pour informer l’autorité de la réception de l’injonction de fournir des informations,Informations contextuelles sur Délai médian nécessaire pour donner suite à l’injonction de fournir des informations
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_ILLEGAL_ORGANIZATIONS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_RISK_PUBLIC_HEALTH,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_TERRORIST_CONTENT,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INAUTHENTIC_ACCOUNTS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INAUTHENTIC_LISTINGS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INAUTHENTIC_USER_REVIEWS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_PHISHING,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_PYRAMID_SCHEMES,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Jeux Illégaux.,TOTAL,4,536,24,24,0,0,0,"Demandes reçues d'une autorité française concernant des sites de Jeux d'argent illégaux. Nous recevons chaque moi cette liste. 

À ce jour, Lilo n’a reçu aucune injonction émanant des autorités nationales visant spécifiquement le service Lilo. Néanmoins, toute mesure de déréférencement mise en œuvre sur le moteur de recherche Lilo s’applique automatiquement, par effet technique, aux résultats accessibles via Lilo lorsque les liens concernés y figurent.","Il s’agit du nombre de sites pour lesquels une action est nécessaire. Chaque mois, une liste d’environ 5 000 sites est envoyée, dont seulement 150 sont nouveaux. C’est pourquoi le nombre de sites à traiter est de 536 : les autres sont déjà présents dans la base.","Nous répondons généralement dans les 24 heures, et au maximum sous 72 heures.",,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_SELF_MUTILATION,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_SUICIDE,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_PROHIBITED_PRODUCTS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_UNSAFE_PRODUCTS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_COORDINATED_HARM,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_HUMAN_EXPLOITATION,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_HUMAN_TRAFFICKING,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,TOTAL,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,TOTAL,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_ANIMAL_WELFARE,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_ANIMAL_HARM,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_UNLAWFUL_SALE_ANIMALS,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_HIDDEN_ADVERTISEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_NONCOMPLIANCE_PRICING,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_CYBER_VIOLENCE,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_BULLYING_INTIMIDATION,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_HARASSMENT,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_INCITEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_STALKING,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_BULLYING_AGAINST_GIRLS,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INCITEMENT_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_BIOMETRIC_DATA_BREACH,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_DATA_FALSIFICATION,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_MISSING_PROCESSING_GROUND,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_DEFAMATION,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_DISCRIMINATION,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_HATE_SPEECH,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_COPYRIGHT_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_DESIGN_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_PATENT_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_TRADE_SECRET_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_TRADEMARK_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,"AT, […], SE",,,,,,,,,,,,,,
