Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the receipt of the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_MISINFORMATION_DISINFORMATION,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,,,,,
